bleed_rate_high	HIGH
tut_track_header	TRACKS
equipment_stats_callers_vocal_and_attraction_variable	Vocal & Attraction
player_character_part_name_hair_06_a	Metalhead, black
player_character_part_name_shoes_04_m	Skate shoes, brown/black
buttonhint_door_nopower	NO POWER
option_pad_aimsensitivity_desc	Adjust the analog stick sensitivity when in aim mode.
mission_wm_44_missionitem_01_header	Stash for a friend
region_southcoast_name	South Coast Region
option_hudpreset_value_clean_desc	Minimal HUD for a clean hunting experience.
inventory_weaponclass_03	CLASS 3
player_character_part_name_pants_10_b	Tucked jeans, dark blue
collectable_gnome_16_silver	Silver Gnome
interface_place_item	PLACE ITEM
interface_msg_skill_confirmbuy	Do you want to buy this skill?
signtranslation_arbetepagar	WORK IN PROGRESS
DO NOT OPERATE
equipment_subcat_equipment_optics_header	BINOCULARS
player_character_part_name_glasses_05_c	Gas mask, gray/tinted
ach_065_description	Complete the Endgame mission.
skill_03_name_02	STAMINA RECHARGE
location_forest_lumberfaciltiy_hjortqvamssagverk	Hjortqvarns Sågverk
location_mountain_redovisningskansli_ost	Redovisningskansli Öst
location_ostervik_portmanor	Kaptensvillan
location_mountain_redovisningskansli_ost_overseer_villa	Redovisningskansli Öst - Overseer Villa
mission_wb_am_03_missionitem_02_content	AM03 item 02 content
player_character_part_name_glasses_01_b	Spectacles, black/gray
option_action_itemslot_5	DRAW WEAPON / ITEM SLOT 5
interface_cycle_vision_modes	CYCLE VISION MODE
collectable_blueprint_09_runner_classc	Runner (FNIX)
worldmission22b_1info_name	Ensnared
player_character_sub_category_name_hair_08	Crew cut
mission_wm_24_missionitem_02_header	World Mission 24 - Mission item 2 header
interface_change_profile	CHANGE PROFILE
poi_title_mission_world	World Mission
tut_wind	Wind and rainfall can mask your noise. Use the ambient noise to your advantage when stalking an animal.
worldmission35_2summary	Find the hidden weapon cache
key_pc_delete	DELETE
worldmission40_obj02	Clear the area of the enemy units
ach_069_name	Go-Getter
collectable_mixtape_12_car_karaoke_name	Grégouuuze - Car Karaoke songs!!!
warboard_forestcity_answers_03obj_04	Investigate the caller's house for details
option_pad_acceleration_name_xb1	LOOK ACCELERATION
mp_player_changed_the_time	[PLAYER_NAME] changed the time to [TIME].
location_mountain_klinte_harbour	Klinte Harbor
ach_091_description	Kill an enemy that has killed another player.
equipment_propane_tank_04_poison_name_short	Poison Tank
ach_087_name	Medic
interact_revive_disabled	1 ADRENALINE SHOT REQUIRED
legal_gen_global_console	Generation Zero®. Published and developed by Avalanche Studios.  Avalanche Studios, Generation Zero and their respective logotypes are trademarks of Fatalist Development AB. The Apex Avalanche Open World Engine, Generation Zero and their respective logotypes are trademarks of Fatalist Development AB. Uses NVIDIA GeForce SDK ©2017 NVIDIA Corporation. All rights reserved. Uses FMOD Ex Sound System ©2017 Firelight Technologies Pty Ltd. All rights reserved. Uses Havok™ ©1999-2017 Havok.com Inc. (and its Licensors). All rights reserved. See www.havok.com for details. Uses Autodesk™ Scaleform™ software ©2017 Autodesk, Inc. All rights reserved. This is a work of fiction. Names, characters, places and incidents either are products of the author's imagination or are used fictitiously. Any resemblance to actual events and locales or persons, living or dead, is entirely coincidental.
location_farmlands_boo_averholm_manor	Averholm Farm
option_antialiasing_desc	Adjusts the type of anti-aliasing used. Anti-aliasing reduces jagged edges in images. Choose FXAA + TAA for the highest quality image. Low performance impact.
forgot_password	Forgot password
mpmenu_dlc	DLC
player_character_preset_name_rebel	REBEL
ach_022_description	Kill 15 Harvesters.
equipment_ingredient_jar_name	An empty jar
location_archipelago_iboholmen_mortnas	Mörtnäs
ammo_32acp_hp_description	The hollow-point bullet for the Müller PP provides a great deal of hardpoint damage to machines but has trouble penetrating their armor.
ammo_243_sp_name	.243 Soft-Point Ammo
worldmission14_obj01	Go to the church
key_doorkey_am02_description	The key is of a generic make and stained by blood
player_character_sub_category_name_neck_01	Neck chain
log_screen_filter_world_header	WORLD
worldmission05_obj02	Search for any usable equipment and intel, left behind in the camp
equipment_stats_general_capacity_cost_description	The amount of space the item takes in your inventory. This can be thought of as a combination of volume and weight.
player_character_part_name_jacket_07_d	Punk jacket, black/red
player_character_name_hoa	A
warboard_mountains_safety_03obj_01	Discover the antenna rellay
mission_gotland_boss_fnix_m_yy_06	They told you it was a weapon and a weapon it is, but not like you think. They have used you, because they fear me. They fear coming near me, as if I was a disease. So they sent you instead. They sent you to your death and not mine. You shouldn't be killed by them. Leave. Quickly.
player_character_part_name_glasses_06_a	Classic sunglasses, black
location_forest_bunker_machinestorage	[TEMP] Machine Storage Bunker
player_character_part_name_hat_01_c	Knit cap, pink
warboard_marshlands_payback_06obj_04	Destroy the resupply stations
location_southcoast_hisinganaset_village_stenungsnas	Stenungsnäs
inventory_section_optics	OPTICS
tut_codex_animalcalls	Animals can make different kinds of calls. When an animal calls, an on-screen indicator will show up to illustrate the general direction of the call. Use {INTERACT} to listen to the call when facing the indicator. This will show information about the species and the type of call.

MATING CALLS
This call type indicates that the animal is looking for a partner, and has a higher likelihood of responding to the use of an animal caller.

WARNING CALLS
This call type indicates that you or another player (in multiplayer) has alerted the animal to your presence by sight, scent, or noise. The animal will be more vigilant, but has not yet fled.

Different species and animals within species have varied calling behaviors. Very difficult animals will rarely make calls.
mission_wb_am_02_missionitem_04_content	"Veronika,
Call me a coward if you want, but I just couldn't face you, not right now at least, sorry. Fredrik kindly offered to pick up my boxes and stuff at your house on his way to work.
But let's have that cup of coffee soon, like we said, okay? Maybe at Kålleby Fika, like old times.
Miss you. - Olle"
mission_wb_sm_02_missionitem_03_header	Handwritten note at the relay tower
worldmission09_info_description	A soldier named Johan Andersson told his neighbor that he was worried that something bad is about to take place, and wanted to stock up on supplies. He and family lived in the nearby villa Kaseberg.
popup_header_logout	Logging Out
popup_header_profile_signout_xb1	Profile Signed Out
player_character_part_name_pants_07_d	Punk pants, red
machine_hunt_classb_name	HUNTER
option_mouse_invert_desc	Switch mouse look up / down directions.
player_character_part_name_hair_03_b	Mullet, brown
equipment_stats_scent_average_range_label	AVERAGE RANGE
option_mouse_looksensitivity_name	LOOK SENSITIVITY
option_mouse_aimsensitivity_name	AIM SENSITIVITY
player_character_preset_desc_military	MILITARY
back	Back
collectable_mixtape_08_horse_party_desc	Dala(f)häst
option_compass_value_free	FREE
mainmenu_store_ps4	PlayStation®Store
player_character_part_name_glasses_08_g	Horn-rimmed sunglasses, black frame
location_ostervik_eastside	[TEMP] Östervik East Side
option_value_color_gray	GRAY
player_character_part_name_hair_01_a	Layered bob, black
interface_msg_multiplayer_find_game_header	SEARCHING
player_character_part_name_hair_03_d	Mullet, red
player_character_part_name_face_01	Hoops, pink
ach_017_description	Kill 15 machines with explosives.
player_character_part_name_backpack_02	Army backpack
region_city_name	City Region
worldmission30_3description	The left-behind diary talks about a gun club, closely north-side
tut_camera_ps4	To take out your camera, hold {TOGGLE_HUNTERMATE_CAMERA}. Use {AIM} to look through the viewfinder. When ready, press {FIRE_RIGHT} to take a photograph.
map_legend_player_waypoint_name	Player waypoint
player_character_part_name_jacket_05_i	Hip-hop jacket, black/white
worldmission41_2summary	Search the sniper's post for anything of use
option_value_disabled	DISABLED
player_character_part_name_shoes_02_h	Leather shoes, purple
equipment_pest_01_description	A reverse engineered 'Tick', rebuilt from broken parts and reprogrammed to attack other machines.
equipment_maincat_sights_header	SIGHTS
equipment_flashlight_01_name	Flashlight
player_character_part_name_backpack_01_i	Wanderer's backpack, mustard
tut_codex_animalstates_header	ANIMAL BEHAVIOR
worldmission_bcd_zattachment_01_title	attach_title
signtranslation_embroidery_02	"It's a good idea to hide"
warboard_mountains_payback_pbobj_04	Go to the factory's research lab
worldmission43_3description	A big machine was sighted East of North Coast, blocking access to the lighthouse. Time for it to be taken down.
ach_086_description	Deal more than 50% of the damage to an enemy killed by another player.
mission_wb_am_03_missionitem_01_header	AM03 Item 01
option_mpnametags_name_xb1	GAMERTAG
player_character_part_name_jacket_06_g	Varsity jacket, blue/yellow
option_colorblind_name	COLORBLIND CORRECTION
log_screen_filter_completed_header	COMPLETED
playerstat_landmarks_name	LANDMARKS
option_hudpreset_name	HUD PRESET
warboard_marshlands_payback_06_summary	Clear up the enemy machines from the Norrmyra army base.
skills_screen_category_tech_title	TECH
player_character_sub_category_name_hair_05	Mohawk
player_character_part_name_hair_02_f	Perm, bright red
tobii_bungee_zoom_name	BUNGEE ZOOM
worldmission24_obj02	Discover the storage facility
signtranslation_margarin	LIGHT MARGARINE
Special offer 12.60 kr
location_mountain_fishingcamp_stavsudda	Stavsudda
skill_02_name_04	HEALER
key_doorkey_am02_name	House Key
popup_header_mp_matchmaking_timeout	Matchmaking Timeout
player_character_part_name_jacket_08_a	Biker leather jacket, black
equipment_subcat_night_hunting_stationary_lamps	STATIONARY LAMPS
skill_01_description_11	
player_character_part_name_face_01_e	Hoops, red
ammo_270_sp_name	.270 Soft-Point Ammo
mp1050_obj_60	Harvest a European bison
skill_01_name_10	ARMOR DAMAGE
signtranslation_fiskpinnar	FISH STICKS
24 sticks
HarvesterKills	Harvester Kills
equipment_stats_general_variation_label	VARIATION
region_central_settlement_name_uppercase	CENTRAL SETTLEMENT
worldmission21_info_name	Stealing from the poor...
collectable_dalahast_14_yellow_desc	A yellow Dala horse.
tut_camo_header	CAMOUFLAGE
skill_02_name_06	HEAL AMOUNT
worldmission20_obj02	Destroy the machines from the location
map_marker_salthamn_port	Salthamn Port
warboard_farmlands_payback_04_summary	Take out the machine resupply station
player_character_part_name_glasses_06_b	Classic sunglasses, white
player_character_part_name_jacket_01_c	Flight jacket, black
player_character_part_name_hat_03_f	Cap forward, green/brown
collectable_blueprint_11_hunter_classb_desc	Arm designation: Jaktmaskin 60 - "Ulven"

A large-sized bipedal enemy intended by the army for use in search and destroy operations. The Hunter often attacks in packs, move swiftly but relatively silently in most terrains and provides a great challenge in any situation. The army version has adde armor platings, as well as the opportunity to carry either a shoulder mounted high caliber sniper rifle, or a back mounted container for deployment of Ticks. Even if you manage to disable its ranged weaponry, the pneumatic blade combined with speed and agility makes the Hunter extremely deadly even in melee situations.

Loadout:
Machine gun
Gas grenade launcher
Sniper rifle
Tick deployment
Pneumatic blade
TotalMachineKills	Total Machines Destroyed
signtranslation_embroidery_03	"We all start out as children"
skills_category_passive	AMBUSHER
interface_msg_insufficient_perkiness	Sorry, you cannot afford this Perk. Get more Perk Points by doing stuff!
playerstat_lookout_points_name	LOOKOUT POINTS
terms_of_use	Terms of use
signtranslation_embroidery_04	"Away is good, but home is best"
enemy_info_difficulty_2_title	HARD
region_central_settlement_name	Central Settlement
collectable_mixtape_10_carl_vrala_name	Carl Vråla
key_doorkey_am05_name	Storage Key
option_action_show_equipment_selector	SHOW EQUIPMENT SELECTOR
huntermate_codex	CODEX
popup_header_full_game_not_installed	Failed To Join Game
presence_region_mountains	In the North Coast Region
interact_picklock	PICK LOCK
mission_wb_am_02_missionitem_04_header	Handwritten note from Olle
warboard_marshlands_safety_06_summary	Destroy the jamming station
popup_header_join_session_failed_host_lost_xb1	Failed To Connect
warboard_forestcity_answers_03_summary	Find out what happened in Östervik 
equipment_mine_01_name_short	Mine
collectable_blueprint_10_hunter_classa_desc	A large-sized bipedal enemy with strong defensive and offensive capabilities. The Hunter often attacks in packs, move swiftly but relatively silently in most terrains and provides a great challenge in any situation. The standard medium caliber silenced machine gun version is sometimes mixed up with an additional shoulder mounted gas grenade launcher, to incapacitate combatants. Even if you manage to disable its ranged weaponry, the pneumatic blade combined with speed and agility makes the Hunter extremely deadly even in melee situations.

Loadout:
Machine gun
Gas grenade launcher
Pneumatic blade
player_character_part_name_hair_13_c	Hi-top, blond
player_character_part_name_face_02	Punk piercings, silver
inventory_attach_to_slot_2	ATTACH: WEAPON SLOT 2
mission_wm_27b_missionitem_01_content	World Mission 27b - Mission item 1 content
attachment_muzzle_silencer_handgun_01_name_short	Handgun Silencer
machine_weapon_dreadnought_sniper_name	TANK SNIPER
option_gamma_name	GAMMA
mp_new_animal_record	Your new record for this animal: 
warboard_archipelago_safety_01_desc	There is a large military base down the coast of Södra Saltholmen, and it's fitted with a large relay that makes it an effective local hub for military comms. They'd have the adequate equipment for you to contact the outside world and get assistance.
mission_wm_30_missionitem_01_header	Get off my lawn
TotalXP	Total XP
popup_header_save_restoring	Corrupt Save Game
mission_wb_am_06_missionitem_03_header	AM06 Item 03
attachment_vision_xray_01_name	Object Penetrating Vision Modulator
equipment_ingredient_rag_description	A spare bit of cloth used as a rag that can be found anywhere.
mission_wb_am_05_missionitem_01_header	AM05 Document 
player_character_part_name_handwear_04_g	Knitted gloves, black
key_bunkerkey_foav2_name	FOA HQ Entry Barcode
worldmission28_obj02	Discover the left-behind cache
attachment_vision_heat_01_description	This module allows viewing in the infrared spectrum.
popup_connection_lost_live_xb1	You have lost your connection to Xbox Live. Certain features, such as multiplayer, will be disabled.
status_attribute_velocity_increase_label	Velocity Increase
player_character_facepaint_name_makeup_h	Makeup, star
mission_wm_37_missionitem_02_content	World Mission 37 - Mission item 2 content
popup_full_game_not_installed_play_together	You can not use Play Together until full Game is installed.
worldmission06_info_name	Road Rage
interact_unlock	UNLOCK
map_marker_general_homestead	Homestead
option_highlightkill_name	DOWNED ANIMAL HIGHLIGHT
ach_007_name	Rifleman
ach_021_description	Kill 30 Hunters.
equipment_ingredient_pest_part_02_name	Tick Body
location_farmlands_boo_boobridge	Boobron
equipment_stats_scent_uses_description	The number of uses a scent lure has before it expires and is removed from your inventory.
ammo_launcher_chaff_description	A non-damaging, countermeasure round which releases a disruptive cloud of particles into the air to block radar and tracking by military units.
key_pc_numpad_0	NUMPAD 0
codex_cairns	POINTS OF INTEREST
ammo_launcher_explosive_name_short	HEDP
playerstat_section_hunting	HUNTING PROFILE
player_character_sub_category_name_hair_03	Mullet
ach_052_description	Discover 50 locations.
tut_movement_speed_header	RUNNING
mp_whisper_to	Whisper to 
option_message_keep_screenres	Do you want to keep these display settings?
PlayersRevived	Players Revived
location_archipelago_iboholmen_fishingwarf_abandoned	Abandoned Fishing Wharf
ammo_50_ap_description	A NATO standard ammunition caliber, used in long-range sniper rifles. The armor-piercing round offers higher armor penetration than standard FMJ rounds, but deals low damage to exposed hardpoints.
player_character_preset_greaser_variation_1_name	STYLE 1
equipment_stats_weapon_reload_speed_label	RELOAD SPEED
player_character_part_name_jacket_05_h	Hip-hop jacket, brown
player_character_part_name_wrists_03_c	Punk wristband, yellow
attachment_muzzle_compensator_smg_01_name	Submachine Gun Compensator
equipment_stats_headlamp_light_cone_width_description	The width of the light cone generated by this light device. This affects the area in which clues are highlighted at night.
warboard_marshlands_04_obj_01_3	Use the IFF keys to enter the bunker
player_character_part_name_shoes_01_e	High top sneakers, light blue
option_units_desc	Imperial (miles, yards, fahrenheit) or metric (kilometers, meters, centigrade)
intromission03_obj_03	Locate the houses of those responsible for Civil Defense in Salthamn
worldmission31_3description	A recorded message talks about a hiking cabin asking for supplies, where a strange accident occurred involving a "Metal Wolf".
warboard_mountains_04_obj_01_3	Use the IFF keys to enter the bunker
mp1050_obj_20	Harvest a fallow deer
poi_title_location_port	Port
equipment_sight_compound_bow_01_illuminated_1pin_name_short	BRIGHTSIGHT SINGLE-PIN (CB-60)
tobii_extended_view_responsiveness_description	How quickly the camera responds to your eye movements
interface_msg_dlc_not_allowed	Vehicles are not allowed on this server.
player_character_part_name_hat_06_d	Military helmet, blue/yellow
wpn_rifle_assault_762_02_description	The most widely used assault rifle in the world. Very powerful, but very difficult to handle.
option_action_itemslot_4	DRAW WEAPON / ITEM SLOT 4
tobii_extended_view_description	The game camera will turn based on where you are looking
warboard_forestcity_answers_03obj_05	Go to Ingrid's house
mission_wm_40_missionitem_02_header	World Mission 40 - Mission item 2 header
mp1060_desc	Be the first to hit an animal in the heart
equipment_sight_revolver_454_illuminated_iron_name_short	454 Iron
key_pc_numlock	NUM LOCK
warboard_mountains_safety_03obj_03	Use the radio
player_character_part_name_hat_05_d	Military cap, brown
mpmenu_server_distance_worldwide	WORLDWIDE
CollectablesFound	Collectables Found
warboard_gotland_safety_05obj_03	Use the radio
mpmenu_server_distance_near	MODERATE
sight_rifle_scope_1-4x_xray_name_short	1-4x X-Ray
mission_wm_18_missionitem_02_header	World Mission 18 - Mission item 2 header
interface_msg_title_migrating	MIGRATING HOST
player_character_part_name_jacket_10_b	Military jacket, one-tone
player_character_part_name_pants_10_e	Tucked jeans, gren
collectable_gnome_20_young	Hippie Gnome
worldmission25_info_name	Exchange Student
tut_alerted_header	Enemies
attachment_vision_heat_night_xray_01_name	Full Vision Module
player_character_part_name_hat_02_d	Cap backwards, pink/white
mission_wm_28_missionitem_01_header	Note
worldmission09_info_summary	A soldier stocked up on supplies in his house at Villa Kaseberg.
interact_revive_self	REVIVE (-1 ADRENALINE SHOT)
inventory_assign_to_slot_1	WEAPON SLOT 1
ammo_44m_hp_description	.44 hollow-point bullets offer rapid expansion to revolver users when they hit their target. This bullet should be used to take down exposed threats (such as machine organs) quickly, as it has a hard time penetrating armor.
poi_title_location_airport	Airport
option_action_holster	HOLSTER WEAPON / ITEM
worldmission06_info_summary	A radio comm refers to a lost supply convoy that went radio silent.
location_ostervik_port	Nyhamnen
attachment_muzzle_silencer_assault_01_description	A silencer attachment that fits all assault rifles. Attaching this mod will noticeably reduce the noise created by each shot but the damage dealt per bullet will be reduced as well.
skills_requirements	REQUIREMENTS
worldmission37_1name	Gas Run
player_character_preset_metalhead_variation_1_name	STYLE 1
warboard_mountains_payback_pbobj_06	Find the gas regulation pump
action_move	MOVE
warboard_archipelago_payback_01_desc	A humanoid machine has been sighted at the ruins of Iboholmen Castle.
option_highlightkill_desc	Controls the highlighting of downed animals.
mp_failed_to_connect	Failed to connect
skill_03_name_14	COMMANDO
worldmission42_obj03	Search for anything usefull, left behind
mp_steam_disconnect_header	DISCONNECTED
intromission02_obj_02	Search the church for anything of interest left behind
ammo_270_fmj_description	The .270 caliber, full metal jacket bullet is used for higher penetration and superior aerodynamics. These bullets deal greater damage against armor plating.
player_character_creation_category_label_neck	Neck
mission_wm_38_missionitem_02_header	World Mission 38 - Mission item 2 header
warboard_gotland_bossobj_02	Enter the FOA 53 Lab using Von Ulmer's keycard
in_game_menu_character	CHARACTER
option_action_huntermate_perks	OPEN PERKS
key_pc_lshift	LEFT SHIFT
mission_wm_04_missionitem_01_content	"Roland, are you home? You gotta help me. I'm at the castle, I've been hearing some weird gunshots in the distance. And no one's picking up in Salthamn anymore. Gösta once told me that you guys have a lot of hunting stuff at your place, right? Ah, never mind, I'll drive over now."
location_nest	UHF Interference Beacon
signtranslation_flaskkotletter	PORK CHOPS
On the bone
Special offer 45.60 kr / kg
collectable_dalahast_11_tan	Tan Dala Horse
tut_camera	To take out your camera, press {TOGGLE_HUNTERMATE_CAMERA}. Use {AIM} to look through the viewfinder. When ready, press {FIRE_RIGHT} to take a photograph. Photos taken using the camera will be saved to your Steam screenshot library.
huntermate_stat_exp	XP
mp1010_desc	Be the first to spot 5 animals
warboard_forestcity_answers_sdobj_01	Locate von Ulmer's house called Kungsgården
mp_matchmaking_searching	Searching for game...
option_language_desc	Choose the language the game is presented in.
skill_03_description_07	
interface_msg_perk_confirmbuy	Do you want to buy this perk?
key_doorkey_lumbercamp_description	The key has a label on it named "Office Key"
location_archipelago_s_saltholmen_farm_seggesta	Seggesta Farm
player_character_part_name_glasses_04_c	Gas mask, gray
sight_rifle_scope_1-4x_nv_name	1-4x Zoom Night Vision Rifle Scope
option_value_enabled	ENABLED
gc_mission_sf_radio_f_xx_02	This is an important public announcement. Everyone living in the Saltholmen area is required to go to the designated shelter in Salthamn immediately, and wait for instructions there. This is Anita Nilsson, Civil Defense Coordinator. The shelter is located just outside the village to the East. I repeat, please get to the Salthamn shelter immediately.
collectable_mixtape_04_top_fun_desc	Pop och rock hits
worldmission18_obj03	Search for military loot
ammo_launcher_chaff_name	Chaff Round
key_pc_mouse3	MOUSE 3
log_screen_filter_payback_header	PAYBACK
worldmission29_obj01.2	Look around for the supply truck
equipment_stats_scent_eliminator_scent_reduction_label	SCENT REDUCTION
map_legend_outpost_name	Outpost
equipment_stats_optics_magnification_description	The magnification provided by this optic device.
mainmenu_select_character	SELECT CHARACTER
key_pc_pageup	PAGE UP
interact_door_open	OPEN
option_pad_acceleration_desc	Acceleration causes the camera to rotate faster the longer the analog stick is held.
warboardmission_safety01_obj_05	Take down the relay interfering with the radio signal
key_pc_escape	ESCAPE
SeekerKills	Seeker Kills
skill_04_description_14	While the Engineer specialization is active, the player may scavenge undamaged Tick Eggs from enemies and use them to deploy Ticks that attack enemies.

Only one specialization may be active at a time.
equipment_sight_ss_rifle_7mm_illuminated_iron_name_short	7mm Iron
mainmenu_character_create	CREATE CHARACTER
mp1010_name	Hawkeye Challenge
credits_category_02	ANIMATION
equipment_medstation_name	Paramedic Response Pack
mission_wb_r3_missionitem_01_header	Engineering sketch 
interface_warboard_missions	MISSIONS
player_character_sub_category_name_handwear_03	Drivers gloves
interface_kick_player	KICK PLAYER
key_pc_numpad_7	NUMPAD 7
equipment_grenade_01_name_short	Grenade
equipment_flare_distraction_01_name_short	Fireworks
mission_wm_23_missionitem_01_header	World Mission 23 - Mission item 1 header
player_character_part_name_shoes_06_h	Kardborreband sneakers, red
worldmission18_info_description	The recording on the cassette specifies about about a lost convoy that went radio silent in suspicious circumstances.  
player_character_part_name_hat_06_b	Military helmet, gray
ach_035_description	Travel 10 km on foot.
mission_wm_35_missionitem_02_content	World Mission 35 - Mission item 2 content
worldmission39_2summary	Find the supply cache at the farm
mp_player_fast_traveled_to	[PLAYER_NAME] traveled to [LOCATION_NAME].
collectable_mixtape_05_apostolic_band_name	Apostolic Band
mp_matchmaking_joining	Joining game.
ammo_12ga_bird_name_short	12ga Bird.
skill_02_description_01	Provides a percentage decrease to the random offset of your throwing accuracy.

Level 1: -60% random offset

Level 2: -100% random offset
attachment_mag_extended_assault_762_02_name_short	[AI-47] Ext. Mag.
ammo_50_ap_name_short	.50 BMG AP Ammo
equipment_lure_commarray_01_description	A light communications array, salvaged from the wreck of a destroyed machine. They can be placed on the ground and used as a lure, drawing other machines to its location for a short time.
player_character_name_patricia	D
warboard_mountains_01_name	Warboard - Uttern Bunker
option_tutorials_desc	Enable / disable all in-game hints and tutorials.
codex_wildlife_habitat	HABITAT
collectable_gnome_01_unpainted_desc	This gnome is in desperate need of a paint job. On the plus side, his life is still a blank slate.
player_character_part_name_pants_09_a	Short pleated skirt, blue/pink
player_character_creation_category_label_ethnicity	Skin Color
attachment_mag_extended_handgun_9mm_01_name	[Klaucke 17] Extended Magazine
option_value_color_electric_violet	ELECTRIC VIOLET
collectable_blueprint_08_runner_classb_desc	Army designation: Stridsmaskin 30 - "Järven" 

A medium-sized machine often encountered in groups, the Runner is quick and persistent. This army-produced version comes in two loadout variants, both with armor plating protecting its exposed parts such as its head and top-mounted fuel cell. It has a powerful melee jump attack that can knock you off your feet.

Loadout: 
Sub-machine gun
Shotgun
Melee jump attack
mainmenu_character_create_sex_female	FEMALE
worldmission26_obj01	Find the mentioned location
mission_wb_sm_02_missionitem_01_header	Radio message about the interferences at the relay tower
worldmission27_info_2summary	A special weapon is set in a nearby camp
popup_save_restore_backup	Your save game is corrupted. The game can attempt to restore a backup. Do you want to proceed?
tut_hold_breath_header	HOLD BREATH
tut_codex_scent_header	SCENT
worldmission46_2summary	Search for the mentioned equipment, at the Radar Mast
popup_full_game_not_installed	The Game is not yet fully installed.
worldmission21_obj01	Find the remote location where the military gathered the supplies
player_character_facepaint_name_makeup_o	Makeup, one eye
warboard_mountains_payback_pb_desc	All clues point out for the eastern region where the machines are built. The time has come to put a stop to this.
equipment_optics_rangefinder_binoculars_name_short	7x42
missions_quests	QUESTS
state_dead_pending_remove	-
emote_halt_name	[TEMP] Emote Halt
enemy_info_organ_title	COMPONENT:
multiplayer_player_list_header	PLAYERS
player_character_name_linnea	B
option_social_header	[TEMP] HUNT CLUB BETA
ach_028_description	Kill 20 enemies with suppressed weapons.
player_character_part_name_jacket_10_f	Military jacket, dazzle
key_pc_rwin	WINDOWS KEY RIGHT 
tut_codex_health	You can lose health if attacked by animals or falling from high altitudes. Your current health is indicated by a meter in the HUD. Recover health by resting at a cabin, or using a first aid kit.

Press {FIRE_RIGHT} when you have a first aid kit in your inventory to use it.
player_character_part_name_glasses_07_b	Pilot glasses, silver
player_character_sub_category_name_earrings	Earrings
collectable_blueprint_04_seeker_classa	Seeker (Prototype)
equipment_subcat_deployables_stands_header	HUNTING STANDS
player_character_part_name_pants_07_e	Punk pants, yellow/black
player_character_part_name_head_f_02	F Head 2
mission_wb_am_02_missionitem_02_content	An answering machine message indicates Adavägen 2 is acutally Veronikas parents house:

"Mom, Dad! Look, er, I don't want to freak you out, but I think I might be in danger. Whatever you do, stay away from my house? It's not safe. Trust me on this, okay? Maybe you guys should go to Uncle Tobbe at Stenungsnäs -- no, wait, I'll come over and explain everything. I'll leave from work now. Oh, and I'll need to crash at your place tonight."
location_mountain_farm_blackedal	Blackedal
worldmission30_obj01	Locate the gun club shooting range
option_hudscale_desc	Increase or reduce the size of the HUD elements.
option_fog_desc	Adjusts the quality of the volumetric fog. Medium performance impact.
player_character_part_name_jacket_05_b	Hip-hop jacket, black/yellow
bleed_rate_very_high	VERY HIGH
mission_wm_39_missionitem_01_header	Newspaper article
worldmission08_obj03	Claim the safehouse for yourself
player_character_part_name_hair_04_e	Teased, light blond
equipment_stats_weapon_aim_fatigue_description	Affects the time a weapon can be held in aim mode before fatigue kicks in and the shooter is forced out of aim mode. Higher fatigue means less time in aim mode.
skill_01_name_07	WEAPON SWAY
warboard_marshlands_safety_06obj_03	Use the radio

player_character_part_name_backpack_01_c	Wanderer's backpack, black/gold
warboard_gotland_bossobj_03	Locate the laboratory
equipment_consumable_firstaid_simple_name	Simple First Aid Kit
codex_wildlife_social	SOCIAL
ach_000_name	Generation Zero
option_stalkinghud_name	STALKING INDICATOR HUD
tobii_tracker_description	Turn tobii tracking on or off
mission_wb_am_06_missionitem_02_header	AM06 Item 02
location_farmlands_boo_farm_ostramark	Östra Mark
player_character_part_name_jacket_10_e	Military jacket, beige
multiplayer_friends_list_header	FRIENDS
location_southcoast_hisinganaset_ferry_hisingsudde	Hisings Udde
location_southcoast_hisinganaset_farm_knaperanna	Knaperänna Farm
player_character_part_name_hat_02_f	Cap backwards, dark green
ach_050_name	DJ
location_farmlands_boo_bruk_ab	Boo Bruk AB
player_character_part_name_shoes_06_e	Kardborreband sneakers, black/red
player_character_sub_category_name_hair_09	Slicked back
ach_014_description	Kill 60 machines with submachineguns.
player_character_part_name_head_f_03	F Head 3
mission_new_mission_title	NEW MISSION
demo_beginning_of_demo_message	By participating you'll be part of a select audience who will be able to play a limited portion of our upcoming game.

In this Closed Beta we will restrict you to the starting islands of the game, but we will allow you to freely roam the area during the limited period. Please feel free to leave feedback about your experience in our forums - it will help us improve both the technical functionality and the gameplay ahead of launch.

From everyone at Avalanche - we hope you enjoy the Generation Zero Closed Beta and thank you for playing!
wpn_rifle_hunting_270_01_name_short	"Älgstudsare" Rifle
player_character_sub_category_name_pants_06	Punk skirt
ach_070_description	Complete a warboard mission.
tut_codex_xp_header	EXPERIENCE POINTS (XP)
equipment_stats_ammo_compatible_weapons_description	Weapons that can fire this type of ammunition.
player_character_preset_hiphopper_variation_2_name	STYLE 2
equipment_stats_callers_response_type_description	The type of response from animals that can be expected when using the caller. This may be a vocal response from the animal, the animal being attracted to the area where the call was made, or a combination of both.
warboard_forestcity_payback_05obj_02	Investigate the area
worldmission02_description	A letter found in a car was apparently sent to a hunter named Kurt Ahlgren, living in a location called "Björknäs" on Iboholmen. Judging by the location and direction of the car, his house is probably nearby. With a bit of luck, the owner's hunting equipment will still be at their house.
